Capacity data calculated from MERRA-2
""
BEGIN_DATA
year,month,day,hour,w_cfs
2018,1,1,1,0.25257482548265575
2018,1,1,2,0.26282676099507496
2018,1,1,3,0.24270697020569507
2018,1,1,4,0.20997741194898034
2018,1,1,5,0.18778204202019447
2018,1,1,6,0.17152388695745568
2018,1,1,7,0.15272286694500792
2018,1,1,8,0.1347807243685454
2018,1,1,9,0.1285825306104623
2018,1,1,10,0.12580331741451714
2018,1,1,11,0.12239959487962605
2018,1,1,12,0.1208029414193655
2018,1,1,13,0.11677674949253647
2018,1,1,14,0.10624179280870663
2018,1,1,15,0.08059158209906467
2018,1,1,16,0.051387462280461815
2018,1,1,17,0.028626000189306073
2018,1,1,18,0.016116174358308796
2018,1,1,19,0.007144517012619845
2018,1,1,20,0.007632141534118675
2018,1,1,21,0.008783949425744217
2018,1,1,22,0.011554314354901826
2018,1,1,23,0.021707001479745948
2018,1,1,24,0.05391075404499016
2018,1,2,1,0.07457717230204311
2018,1,2,2,0.07945975712882535
2018,1,2,3,0.07983187704595683
2018,1,2,4,0.0773874090586874
2018,1,2,5,0.06754674386242149
2018,1,2,6,0.05651550614407758
2018,1,2,7,0.049047394098927374
2018,1,2,8,0.04753361903912564
2018,1,2,9,0.04339765917187401
2018,1,2,10,0.038974524366858755
2018,1,2,11,0.03830903483766003
2018,1,2,12,0.03921756613391599
2018,1,2,13,0.039005003103657
2018,1,2,14,0.02817389652320142
2018,1,2,15,0.009385952255528102
2018,1,2,16,0.0018119170711559324
2018,1,2,17,0.0
2018,1,2,18,0.0
2018,1,2,19,0.009227259788655013
2018,1,2,20,0.03260289963453356
2018,1,2,21,0.05761138476244621
2018,1,2,22,0.07372178311537403
2018,1,2,23,0.07881396672377015
2018,1,2,24,0.06414778746726765
2018,1,3,1,0.03542617521260228
2018,1,3,2,0.021949456602919387
2018,1,3,3,0.028601101036766965
2018,1,3,4,0.07768094279577242
2018,1,3,5,0.23042280307226248
2018,1,3,6,0.4977757762458611
2018,1,3,7,0.680018588690455
2018,1,3,8,0.7712823000945438
2018,1,3,9,0.8024976151223109
2018,1,3,10,0.8153864914546228
2018,1,3,11,0.8148162465514165
2018,1,3,12,0.819770106083979
2018,1,3,13,0.8240307083846261
2018,1,3,14,0.5469976776639233
2018,1,3,15,0.1734487446815389
2018,1,3,16,0.08078291507621072
2018,1,3,17,0.09409378165929823
2018,1,3,18,0.06086252415366918
2018,1,3,19,0.03632363688543577
2018,1,3,20,0.022849291267752904
2018,1,3,21,0.015347878165129407
2018,1,3,22,0.013761180419440158
2018,1,3,23,0.013347933631488685
2018,1,3,24,0.0282541562443212
2018,1,4,1,0.0597281544794105
2018,1,4,2,0.10359652987457629
2018,1,4,3,0.16828118743228135
2018,1,4,4,0.23945169966654095
2018,1,4,5,0.29314519981907594
2018,1,4,6,0.3221052165443036
2018,1,4,7,0.3315184203078081
2018,1,4,8,0.33997135120929767
2018,1,4,9,0.3297086537497499
2018,1,4,10,0.293970454747164
2018,1,4,11,0.2684767655533757
2018,1,4,12,0.2574857439887995
2018,1,4,13,0.24846399512084366
2018,1,4,14,0.20644377440902056
2018,1,4,15,0.06342312555535708
2018,1,4,16,0.04665470912670046
2018,1,4,17,0.10887454400382807
2018,1,4,18,0.15245410069770804
2018,1,4,19,0.1720298771653557
2018,1,4,20,0.1873825643112975
2018,1,4,21,0.2466453693094726
2018,1,4,22,0.399065749088404
2018,1,4,23,0.5477796605928114
2018,1,4,24,0.6310866797184994
2018,1,5,1,0.6317837222290345
2018,1,5,2,0.592195251670734
2018,1,5,3,0.5367507809490729
2018,1,5,4,0.4719673003432903
2018,1,5,5,0.41149640163026313
2018,1,5,6,0.3614354143653256
2018,1,5,7,0.3385615047277353
2018,1,5,8,0.3490939159909694
2018,1,5,9,0.3687139032887186
2018,1,5,10,0.3792075582591136
2018,1,5,11,0.38230645911927447
2018,1,5,12,0.3718161563340805
2018,1,5,13,0.3578637133913472
2018,1,5,14,0.20559017247286612
2018,1,5,15,0.06572516459642043
2018,1,5,16,0.07674667842337664
2018,1,5,17,0.06360677411303715
2018,1,5,18,0.046366036428748064
2018,1,5,19,0.039589801227043454
2018,1,5,20,0.03991641267952016
2018,1,5,21,0.05137005613370737
2018,1,5,22,0.06796125802249964
2018,1,5,23,0.07974012995648964
2018,1,5,24,0.11156557664285237
2018,1,6,1,0.17549640902531852
2018,1,6,2,0.2443791913508083
2018,1,6,3,0.3107833700800875
2018,1,6,4,0.34052580940513877
2018,1,6,5,0.3418386838355449
2018,1,6,6,0.32827025342755156
2018,1,6,7,0.32269341924233663
2018,1,6,8,0.32991203855060064
2018,1,6,9,0.3318463267298449
2018,1,6,10,0.31993318645462704
2018,1,6,11,0.26617864753729464
2018,1,6,12,0.19449838622073196
2018,1,6,13,0.14355951184923826
2018,1,6,14,0.08621526276389192
2018,1,6,15,0.024564043325596002
2018,1,6,16,0.02139987615196447
2018,1,6,17,0.036050030776888786
2018,1,6,18,0.0651614904411841
2018,1,6,19,0.13211684658130582
2018,1,6,20,0.22915147789012646
2018,1,6,21,0.31309471058786037
2018,1,6,22,0.51732883038839
2018,1,6,23,0.8412644416535894
2018,1,6,24,0.9752056799681736
2018,1,7,1,0.9995896992443339
2018,1,7,2,0.9984152816763211
2018,1,7,3,0.9954056256929427
2018,1,7,4,0.993069187324758
2018,1,7,5,0.9640942898822014
2018,1,7,6,0.9040095697054115
2018,1,7,7,0.8443464987895851
2018,1,7,8,0.8014185356046343
2018,1,7,9,0.7424188674929072
2018,1,7,10,0.7397446633913131
2018,1,7,11,0.8129939031560317
2018,1,7,12,0.8145979599359565
2018,1,7,13,0.7980678767200741
2018,1,7,14,0.7213549430908089
2018,1,7,15,0.6027302510131798
2018,1,7,16,0.6093134943768627
2018,1,7,17,0.6348204631307879
2018,1,7,18,0.6895670352134105
2018,1,7,19,0.7893452361606296
2018,1,7,20,0.8831003360531211
2018,1,7,21,0.9256794470413485
2018,1,7,22,0.9458691851626694
2018,1,7,23,0.9870110563004433
2018,1,7,24,0.9821601523142867
2018,1,8,1,0.9870795672184441
2018,1,8,2,0.9456246942784623
2018,1,8,3,0.8740674848656674
2018,1,8,4,0.8141762323013255
2018,1,8,5,0.7705627900197992
2018,1,8,6,0.7291430465095852
2018,1,8,7,0.6784838054937588
2018,1,8,8,0.6347060877235692
2018,1,8,9,0.571477374809084
2018,1,8,10,0.46847886442128545
2018,1,8,11,0.353493136122378
2018,1,8,12,0.2550513137662797
2018,1,8,13,0.17916029722732055
2018,1,8,14,0.09463902561249095
2018,1,8,15,0.016273361188368467
2018,1,8,16,0.010029879191626796
2018,1,8,17,0.030717906951435017
2018,1,8,18,0.04525015914191547
2018,1,8,19,0.04936235928204096
2018,1,8,20,0.05110752391528135
2018,1,8,21,0.06339226708133909
2018,1,8,22,0.13254969101729708
2018,1,8,23,0.27019316680551325
2018,1,8,24,0.4121243582085624
2018,1,9,1,0.5163575868881876
2018,1,9,2,0.5908389608445493
2018,1,9,3,0.6456803845877936
2018,1,9,4,0.668364311060546
2018,1,9,5,0.6804469418712118
2018,1,9,6,0.7014744650194646
2018,1,9,7,0.7316854321006104
2018,1,9,8,0.7670759397236595
2018,1,9,9,0.796299714223557
2018,1,9,10,0.8296139372849473
2018,1,9,11,0.8523576536180496
2018,1,9,12,0.8679037580389756
2018,1,9,13,0.8692888040825199
2018,1,9,14,0.5144077882428332
2018,1,9,15,0.17171238505545705
2018,1,9,16,0.1822736806271733
2018,1,9,17,0.32362755943511035
2018,1,9,18,0.39464246590254953
2018,1,9,19,0.4001575041999305
2018,1,9,20,0.39006955622564965
2018,1,9,21,0.3502147669392261
2018,1,9,22,0.4623494108912936
2018,1,9,23,0.7226782494274605
2018,1,9,24,0.899670362311986
2018,1,10,1,0.9619480614141452
2018,1,10,2,0.9852948394719676
2018,1,10,3,0.9958517385777395
2018,1,10,4,0.9885232130381735
2018,1,10,5,0.9756272993612615
2018,1,10,6,0.9468793584745773
2018,1,10,7,0.9290901936856794
2018,1,10,8,0.9024776158548768
2018,1,10,9,0.8799637057783345
2018,1,10,10,0.8529419804612139
2018,1,10,11,0.812082575089334
2018,1,10,12,0.7772359331687125
2018,1,10,13,0.7504682366149875
2018,1,10,14,0.5688142149028423
2018,1,10,15,0.4495157475466786
2018,1,10,16,0.572102304771568
2018,1,10,17,0.7022690067795331
