Capacity data calculated from MERRA-2
""
BEGIN_DATA
year,month,day,hour,w_cfs
2018,1,1,1,0.0044656053965486196
2018,1,1,2,0.015934770703549612
2018,1,1,3,0.029991055571205957
2018,1,1,4,0.037753518014452515
2018,1,1,5,0.04376853389282931
2018,1,1,6,0.049329104241637896
2018,1,1,7,0.051966888331428186
2018,1,1,8,0.05255188062274906
2018,1,1,9,0.05561094151119667
2018,1,1,10,0.07492237727849099
2018,1,1,11,0.10764235671867012
2018,1,1,12,0.1486415695480648
2018,1,1,13,0.1793696754684628
2018,1,1,14,0.18088711909218658
2018,1,1,15,0.17991019014823562
2018,1,1,16,0.12859980880257516
2018,1,1,17,0.04912660072226261
2018,1,1,18,0.0352755659065037
2018,1,1,19,0.03239364575580777
2018,1,1,20,0.025845655877778376
2018,1,1,21,0.018019020510734785
2018,1,1,22,0.015582939499215517
2018,1,1,23,0.03171771067785271
2018,1,1,24,0.04773706587453778
2018,1,2,1,0.09321570279356221
2018,1,2,2,0.16114077294764634
2018,1,2,3,0.17325917421553685
2018,1,2,4,0.18044413700178477
2018,1,2,5,0.17781226299934844
2018,1,2,6,0.18620141679932253
2018,1,2,7,0.20011497362380368
2018,1,2,8,0.21322151810868353
2018,1,2,9,0.22933928429762013
2018,1,2,10,0.22839125841244098
2018,1,2,11,0.2482282742429233
2018,1,2,12,0.2786718514528826
2018,1,2,13,0.3009657397457331
2018,1,2,14,0.3095579188121274
2018,1,2,15,0.29447221211638813
2018,1,2,16,0.19724817431246555
2018,1,2,17,0.14460003884804687
2018,1,2,18,0.17406633697182292
2018,1,2,19,0.19238859239135964
2018,1,2,20,0.17136344928700117
2018,1,2,21,0.1468577079189928
2018,1,2,22,0.13472600210896551
2018,1,2,23,0.14756679541122159
2018,1,2,24,0.21845468545378346
2018,1,3,1,0.27255939513665356
2018,1,3,2,0.2964520663683492
